Comedian,Punchline,Updated By
Vadivel,Aahaan?,Aravind
Vadivel,Naanga adi vangatha area-ve kedayathu,Aravind
Vadivel,Sothulayum adi vaangiyachu sethulayum adi vaangiyachu,Aravind
Vadivel,vaaya moodra korangu,Aravind
Vadivel,Why blood? same blood.,Aravind
Vadivel,Pesikittu iruken mama!,Aravind
Vadivel,Building strong-uh basement weak-uh,Aravind
Vadivel,"Feeling ah? enna, ena feeling-uh?",Aravind
Vadivel,Maapla? maapu? vechutan da aapu!,Aravind
Vadivel,Singgg in the rain.. I am sing in the rain,Aravind
Vadivel,Risk edukarthulaam enaku rusk sapdra mathri!,Aravind
Vadivel,Hello!Dubai ah? Ennudaiyya brother mark irukara?,Aravind
Vadivel,Vena valikuthu.. ALuthuruven!,Aravind
Vadivel,Enna Vechee Comedy Geemedy Pannalaye,Sanjana
Vadivel,Venam valikudhu aludhiduven,Sanjana
Vadivel,Vada Poche,Sanjana
Vadivel,Naa appidya shock ayiten,Aravind
Vadivel,Avana nee...,Rajarajeswari 
Vadivel,Vaa Suruthii polam...,Rajarajeswari 
Vadivel,Manda bathiram...,Rajarajeswari 
Vadivel,Naa apidiye shock aaiyten....,Rajarajeswari 
Vadivel,Anniyae pudunga vaenam..,Rajarajeswari 
Vadivel,Babu... Snake babu....,Rajarajeswari 
Vadivel,"Athu pona maasam , naan sonnathu intha maasam.",Rajarajeswari 
Vadivel,Indha rangalathalayum unakku oru kilukiluppu kekkudhuu...,Rajarajeswari 
Vadivel,"Naan jailuku poren, jailuku poren.. naanum rowdy thaan...",Rajarajeswari 
Vadivel,Ennama anga Satham ! Pesikittu iruken mama ...,Rajarajeswari 
Vadivel,Oh ithu Thaan azhagula mayangaratha …?,Rajarajeswari 
Vadivel,Be Careful…….. enna sonnen...,Rajarajeswari 
Vadivel,Vita kirukan aaikurvanga pola iruku! :,Rajarajeswari 
Vadivel,Dei solamutha pocha,Rajarajeswari 
Vadivel,"aahaa! onnu kooditangayya, onnu kooditangayya",Aravind
Santhanam,Venam Bro! Aduthavan autoku ayudha pooja pananum nenaikuradhu thappu bro,Aravind
Santhanam,Aduthavan patta potta edathula ivan kotta podanum pakuranae..,Aravind
Santhanam,Vera vela irrutha paaruya,Aravind
Santhanam,Vittukkodutha kattuppada mattanda indha vettupuli,Aravind
Santhanam,Urukkulla patthu padhinanji friends vechirukkavan ellam santhoshama irrukan,Aravind
Santhanam,Avlo periya comedy illa idhu,Aravind
Santhanam,Dei ennaku murder pandradhellam powder adikkara madhiri,Aravind
Santhanam,Na nalla panreno illayo nee nalla panrada,Aravind
Santhanam,Nanbenda,Aravind
Santhanam,Nee enna avlo periya appatakara ah nee,Aravind
Santhanam,Factuu...factuu..factuu,Aravind
Santhanam,yenna kelachitaarama,Aravind
Santhanam,asinga pattan autokaaren,Aravind
Santhanam,Cooling Glass Ah Kalattuda,Sanjana
Santhanam,Indha Kucchi Ice Vaikkaporukkulla Olinjikittu Yaarkooda Iceboy Vilaiyaduran,Sanjana
Santhanam,Kanadiya kazhatura modala!,rajarajeswari 
Santhanam,Nee ellam nalla varuvada!,rajarajeswari 
Santhanam,I think she is speaking British English!,Rajarajeswari 
Santhanam,Solra entha signal la maatna,Aravind
Vivek,"Neenga verum Das ah,illa lord Labakku das ah?",Rajarajeswari 
Vivek,Take Diversion,Rajarajeswari 
Soori,"Paangu, oru thadava naa english la thitikava",Rajarajeswari 
Vivek,Eppdi Irundha Naan…. Ippdi Aiyten!!,Rajarajeswari 
Vivek,Yelee... Don't worry be happy...,Rajarajeswari 
Vivek,Enaku Commissioner ah theriyum!.... Anaa avaruku enna theriyadhu..,Rajarajeswari 
Vivek,Yarrum illadha kadai ku tea athura un kadamai unachirulu aalave illaya da,Aravind
Vivek,Sadha kaka ku sonna ainda kakavuku kovam varuthu parru,Aravind
Vivek,Evan start panna mattan pannitan nirutha mattan,Aravind
Vivek,Innaki setha nallaki paalu,Aravind
Vivek ,Naan Eppa appadi sonnen,Aravind
Vivek ,Appane Murugaa,Aravind
Vivek ,Azhakkoodathu Nee yen Azhara,Aravind
Vivek,Hyderabad Unnuthu Secunderabad ennuthu,Aravind
Vivek,Eppavume Withoutnnaa,Aravind
Vivek,Ivanunga mougara kattaiya paathakka avalavu nallavanga maadhiri theriyaliye,Aravind
Vivek,Oru Homathukku poren,Aravind
Vivek,Oho ivar nammakitta matter ethir paakkuraar pola,Aravind
Goundamani,Narayanaa.. indha kosu tholla thanga mudiyala da,Aravind
Goundamani,Arasial la ethellam sathatanamappa,Aravind
Goundamani,Good Morning Oppicer!,Aravind
Goundamani,take the tonty five roobees!!!,Aravind
Goundamani,Adengappaa ithu ulaga nadipu da saami,Aravind
Goundamani,Adhu eppadi da enna pathu andha kelvi kekalam??,Aravind
Goundamani,Deii.. idhukku than da oorukkula oru aal in aal alagu raja venum ngradu,Aravind
Goundamani,Policekar policekar enaku onnum theriyadhu policekar,Aravind
Goundamani,petromas light-ey than venuma intha theepanddam ellam koluthikka koodatha?,Aravind
Goundamani,poda dapa thalaya,Aravind
Goundamani,deii pannike porentha naaye..,Aravind
Goundamani,adra sake.. adra sake..adra sake,Aravind
Goundamani,ithu ulaga maga nadipuda saami,Aravind
Goundamani,indha kosu tholla thanga mudiyala da narayana,Aravind
Goundamani,Budhi solraraama ,Aravind
Goundamani,Tea pocha endhrichi po naaye,Aravind
Goundamani,sangoodhara vayasula sangeethaa,Aravind
Goundamani,hey remove the cap.. remove the cooling glass vaa dee parthasarathy,Aravind
Goundamani,Sooriyana yarrum sudamudiyadhu sir. sooriya veppam dan nammala sudum,Aravind
Goundamani,Paper roast thinna.. liver ku romba nalladhu,Aravind
Goundamani,Bettermax light ah dhan venuma?,Sanjana
Goundamani,Kazhudha meikira paiyanukku ivlo arivaanu ellarukkum poraama da,Aravind
Goundamani,"Dei thagappa, ithu nyayamma!",Aravind
Goundamani,Indiavulayae..aen namma world layae.. car vechirukka karagaatta ghostinnaa athu namma ghosti daan!,Aravind
Goundamani,Podhum da oattunadhu..Reel andhupochu!,Aravind
Goundamani,Ivlo amali thumali inga nadanthukittirukku.. dummy ah ukkaanthu oruthan mixture saptu irrukan,Aravind
Goundamani,"Adei, nee yaarunu ennaku theriyum, na yaarunu unaku theriyum,namma rendu perum yaarungradhu idhan oorukey theriyum",Aravind
Goundamani,"Thambi,naa unna enna vaangitu vara sonnen?",Aravind
Goundamani,"Naangalavadhu onga kitta sollitu vandhom, but,nee",Aravind
Goundamani,"Inga chandru nu oru maanasthan irrudhaan, avana thedunen!",Aravind
Senthil,Appuram Boss Enakku Rendu Maasa Sambalam Bakki Irukku,Aravind
Senthil,Beautiful Wonderful Marvelous,Aravind
Senthil,Boss Enga Poringa,Aravind
Senthil,Complete New Method,Aravind
Senthil,Enna Idhu Idaiyila Pooran Urudhu,Aravind
Senthil,Nari Oruvaatti Ulaiyidumma,Aravind
Senthil,Pora Usuru Pasilaye Pogattum,Aravind
Senthil,Patthu Paisa Kanama Poche,Aravind
Senthil,Sodhanai Mel Sodhanai Podhumada Sami,Aravind
Senthil,Un Veetla Kirukku Subbiah Ponnedukkama Gorbachev Ah Ponneduppar,Aravind
Senthil,Kasu Tharala Kaadha Kadichikittu Vandhutten,Aravind
Senthil,Happy Indru Mudhal Happy,Aravind
Senthil,Mama Kanji Pona Boomiyellam Vathatha Nadhikalai Parthu Aarudhal Adaiyum Andha Nadhiye Vatthi Poyitta,Aravind
Senthil,Annakkili Unna Theduthu,Aravind
Senthil,Photo Va Nan Parthadhe Illaiye,Aravind
Senthil,Adho Superviser Subramanian Varugirar,Aravind
Senthil,Appo Nanga Manam Kettu Road La Alaiyanuma,Aravind
Senthil,Dey Mosakkara,Aravind
Senthil,Interview Ku Time Ayiruchi,Aravind
Senthil,Ayyo Ayyo,Aravind
Manobala,Van Pakkaadha Thuppakkiya Illa Avan Pakkadha Vedigunda,Aravind
Manobala,Idhaithanayya Moonu Naala Sollittu Irukken,Aravind
Manobala,Sir!!,Aravind
Manobala,Thambi Konjam Vaya Thira,Aravind
Manobala,Chinna Left Right La Eppadi Emathinen Parthiya,Aravind
Manobala,Saraya Matterla Nammala Kavuthathu Ivanthan,Aravind
Manobala,Un Pechilaye Un Tholvi Bayam Theriyudhu,Aravind
Manobala,Neeyaa,Aravind
Manobala,En Sivajikitta Irudhu Edhuvume Kathukkalaiya Nee,Aravind
Manobala,Everybody Na Ennayya,Aravind
Manobala,Suttuttiya,Aravind
Manobala,Ennathu Examaa,Aravind
Manobala,Aaaa,Aravind
Manobala,Kaali Suli Holy,Aravind
Manobala,Holyaa Athu Maaruvaadi Pandigai Illa,Aravind
Manobala,Pachak Pachak Pachak,Aravind
Manobala,Peyai Konjam Pathama Pakkuvama Kupidunga Saami,Aravind
Manobala,Ethu Nadanthalum Thairiyatha Kai Vittudaathinga,Aravind
Manobala,Azhaitheergalaa Mannaa,Aravind
Manobala,Naan Thaan Seithen Mannaa,Aravind
Manobala,Enge Kodungal,Aravind
Manobala,Ellam Sariyaaga Thaan Manna Ullathu Aanaal Ottuvatharku Thaan Neram Koodi Varavillai,Aravind
Manobala,Naan Enge Vanthen Ennai Aayutha Oozhalukkaaga Alekkaaga Thookki Vanthu Kattivaithu Vaayileye Mithikkiraargal Manna,Aravind
Manobala,Naan Seitha Sangiligalaaleye Ungalai Kattivaithu Ungal Uyirai Sooraiyaadapogiraargale Athai Ninaithaal Thaan Varuthamaaga Irukkirathu,Aravind
Manobala,Idhaiyum Naan Than Seithen Manna,Aravind
Yogibabu,Enkitta Irundhu Dhan Na Arambichan,Aravind
Yogibabu,Sir Actually,Aravind
Yogibabu,U Want Chicken,Aravind
Yogibabu,1000 Roova Bill Vanthirukku,Aravind
Yogibabu,Ellam Uusi Pottukittu Dhan Doctor Kitta Varuvanga,Aravind
Yogibabu,Enga Venaalum Adinga Daa Facela Adikkaathinga,Aravind
Yogibabu,Ivanungala Engayo Paaththa Maathiri Irukke,Aravind
Yogibabu,Boss Vanakkam,Aravind
Yogibabu,Annavaa,Aravind
Yogibabu,Wow,Aravind
Yogibabu,En Moonjiya Paaththa Settu Maathiriyaa Irukku,Aravind
Yogibabu,Panrathellaam Pannittu Ippidi Etho Vonnu Sollidura,Aravind
Yogibabu,Aanaa Unkitta Yetho Onnu Irukku Da,Aravind
Vadivel,Aaha Valiyila Kidakkara Saniya Vaila Alli Pottukittene,Aravind
Vadivel,Ayyo,Aravind
Vadivel,Nan Akroshama Adicha Aay Poyirum Da,Aravind
Vadivel,Thambi Un Mugatha Konjam Thalli Vaippa,Aravind
Vadivel,Ennadhu Snack Babu Kuttha,Aravind
Vadivel,Eppa Itha Modhallaye Solla Koodadha,Aravind
Vadivel,Ivaraiye Namma Area Councilloraa Nikka Vechiralam,Aravind
Vadivel,Snake Babu,Aravind
Vadivel,Ayokya Payalugala,Aravind
Vadivel,Banarjee,Aravind
Vadivel,Enna Idhu,Aravind
Vadivel,Nee Onnum Bayappadadha,Aravind
Vadivel,Ore Oru Boogambam Vandhuchinnuvai Ellorum Ulla Poyiruvinga Da,Aravind
Vadivel,Dei Pambuku Paya Pottalum,Aravind
Vadivel,Oru Biramandamana Kosu Valayai Vaangai En Thogudhiyai Cover Panniyiruppen,Aravind
Vadivel,Ellam Edhirkatchikaran Senja Sadhi,Aravind
Vadivel,Snack Babu Vazhga,Aravind
Vadivel,Anne Snack Babu Anne,Aravind
Vadivel,Dei Naan Yaar Theriyuma,Aravind
Vadivel,Snake Babu ullull,Aravind
Vadivel,Sari Vishayatha Sollu,Aravind
Vadivel,Yei Keetha Sir Ku Intha Brown Hair Romba Azhaga Irukkulla,Aravind
Vadivel,Poruma Pochi... Pochi,Aravind
Vadivel,Pathiyilla En Selvakka,Aravind
Vadivel,Boxing Kathukittu Irukkenpa,Aravind
Vadivel,Paravallannu Solla Vandhen Sir,Aravind
Vadivel,Eruma Madhiri Idichittu Pora,Aravind
Vadivel,Kolai Pandradhukka,Aravind
Vadivel,En Ya Ippadi Avasarapadura,Aravind
Vadivel,En Ya En Vaaya Kelarura,Aravind
Vadivel,Nalla Nadikkarayya,Aravind
Vadivel,Ayyayo Ratham,Aravind
Vadivel,Awwww,Aravind
Vadivel,Unakku Vara Pora Elraiya Thadukka Mudiyadhu,Aravind
Vadivel,100 Ayusha Irundha Nan En Ya Saga Poren,Aravind
Vadivel,Aaha Nama Arambicha Madhiriye Arambikkarane,Aravind
Santhanam,Thambi Kaiyellam Rattham Ayioruchi Kaluvikittu Vandhudaren,Aravind
Santhanam,Valakkam Pola Edhavadhu Oru Ilicha Vayan Varuvan Vechi Seivom,Aravind
Santhanam,Vathiyare Avana Partha Kalyanathula Sanda Poda Vandhavan Madhiriye Irukkan,Aravind
Santhanam,Vathiyare Motha Murder,Aravind
Santhanam,Venam Thatha Chain Illama Partha Nee Thottakkaran Madhiriye Iruppa,Aravind
Santhanam,Thambi Otthaila Vandhirukka Enna Prachanai Pa,Aravind